City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
lorengau,-2.0226,147.2712,299.09,84.0,100.0,2.77,PG,1612946161.0
broken hill,-31.95,141.4333,309.15,15.0,0.0,3.09,AU,1612946058.0
avarua,-21.2078,-159.775,298.15,94.0,20.0,0.51,CK,1612946161.0
kokopo,-4.352,152.2633,300.28,82.0,100.0,4.64,PG,1612946162.0
cape town,-33.9258,18.4232,298.15,68.0,0.0,8.23,ZA,1612945442.0
mbamba,9.9833,13.1,306.36,9.0,96.0,0.75,NG,1612946162.0
hermanus,-34.4187,19.2345,300.37,59.0,2.0,1.34,ZA,1612946162.0
natal,-5.795,-35.2094,298.15,88.0,20.0,2.06,BR,1612946010.0
leningradskiy,69.3833,178.4167,240.31,84.0,54.0,5.05,RU,1612946162.0
nome,64.5011,-165.4064,251.15,45.0,1.0,2.06,US,1612946162.0
gat,31.61,34.7642,294.26,43.0,14.0,0.89,IL,1612945865.0
ushuaia,-54.8,-68.3,287.15,77.0,0.0,1.03,AR,1612946083.0
mount isa,-20.7333,139.5,309.15,38.0,40.0,4.63,AU,1612946163.0
yellowknife,62.456,-114.3525,249.82,77.0,90.0,7.2,CA,1612946163.0
saldanha,-33.0117,17.9442,298.15,53.0,0.0,6.17,ZA,1612946163.0
rikitea,-23.1203,-134.9692,299.22,72.0,49.0,4.02,PF,1612946163.0
katsuura,35.1333,140.3,283.15,55.0,100.0,0.45,JP,1612946163.0
puerto ayora,-0.7393,-90.3518,297.59,94.0,34.0,2.48,EC,1612946163.0
santiago del estero,-27.7951,-64.2615,292.59,94.0,100.0,0.89,AR,1612945877.0
ponta delgada,37.7333,-25.6667,289.26,94.0,40.0,8.23,PT,1612946164.0
araouane,18.9048,-3.5265,293.95,18.0,0.0,6.22,ML,1612946164.0
saint-philippe,-21.3585,55.7679,305.15,55.0,0.0,9.26,RE,1612946164.0
isangel,-19.55,169.2667,299.81,77.0,1.0,4.55,VU,1612946164.0
port-cartier,50.0334,-66.8654,257.59,47.0,1.0,3.6,CA,1612946164.0
bluff,-46.6,168.3333,285.83,86.0,100.0,13.59,NZ,1612946164.0
ailigandi,9.2333,-78.0167,298.95,84.0,80.0,4.5,PA,1612946164.0
castro,-24.7911,-50.0119,286.0,97.0,99.0,1.92,BR,1612946164.0
kruisfontein,-34.0033,24.7314,302.04,56.0,0.0,2.24,ZA,1612946165.0
marsh harbour,26.5412,-77.0636,296.03,81.0,0.0,1.97,BS,1612946116.0
punta arenas,-53.15,-70.9167,284.15,82.0,75.0,2.06,CL,1612946165.0
anadyr,64.75,177.4833,257.15,55.0,0.0,5.0,RU,1612946165.0
lebedinyy,58.5167,125.5167,256.15,89.0,9.0,2.42,RU,1612946165.0
guerrero negro,27.9769,-114.0611,285.94,86.0,7.0,4.66,MX,1612946165.0
busselton,-33.65,115.3333,291.48,76.0,26.0,1.34,AU,1612946166.0
hilo,19.7297,-155.09,295.15,64.0,90.0,4.63,US,1612945953.0
verkhniy baskunchak,48.2256,46.7217,276.14,89.0,100.0,5.13,RU,1612946166.0
kirakira,-10.4544,161.9205,300.63,79.0,100.0,2.0,SB,1612946166.0
qasigiannguit,68.8193,-51.1922,264.15,45.0,0.0,9.26,GL,1612946166.0
sitka,57.0531,-135.33,264.15,41.0,1.0,5.66,US,1612946166.0
kichera,55.9375,110.0997,267.05,94.0,100.0,2.18,RU,1612946166.0
lebu,-37.6167,-73.65,287.93,90.0,0.0,1.97,CL,1612946166.0
ust-omchug,61.15,149.6333,257.61,90.0,99.0,4.3,RU,1612945889.0
cherrapunji,25.3,91.7,297.15,31.0,20.0,1.54,IN,1612946166.0
ortona,42.3496,14.4039,289.15,51.0,75.0,9.77,IT,1612946166.0
mahajanga,-15.7167,46.3167,305.15,66.0,40.0,2.57,MG,1612946166.0
chuy,-33.6971,-53.4616,292.31,89.0,0.0,2.62,UY,1612946166.0
mulchen,-37.7167,-72.2333,289.51,69.0,0.0,1.06,CL,1612946167.0
vila do maio,15.1333,-23.2167,293.15,77.0,0.0,8.23,CV,1612946167.0
georgetown,5.4112,100.3354,307.15,66.0,20.0,5.14,MY,1612945987.0
mehamn,71.0357,27.8492,269.15,54.0,75.0,9.26,NO,1612946167.0
tautira,-17.7333,-149.15,297.15,73.0,40.0,1.54,PF,1612946167.0
saint anthony,45.0205,-93.218,255.15,65.0,20.0,1.17,US,1612946167.0
sioux falls,43.55,-96.7003,259.15,61.0,90.0,1.54,US,1612946167.0
amahai,-3.3333,128.9167,302.66,72.0,58.0,2.16,ID,1612946167.0
ulaangom,49.9811,92.0667,263.63,91.0,0.0,0.97,MN,1612946167.0
tuktoyaktuk,69.4541,-133.0374,237.62,82.0,3.0,3.57,CA,1612946167.0
mataura,-46.1927,168.8643,286.39,57.0,100.0,4.61,NZ,1612946167.0
mahebourg,-20.4081,57.7,303.15,66.0,75.0,5.14,MU,1612946168.0
albany,42.6001,-73.9662,266.15,86.0,75.0,4.63,US,1612945893.0
ilhabela,-23.7781,-45.3581,295.12,82.0,97.0,0.89,BR,1612946168.0
ilulissat,69.2167,-51.1,264.15,45.0,0.0,9.26,GL,1612946168.0
houma,29.5958,-90.7195,289.82,100.0,90.0,1.54,US,1612946168.0
saint george,37.1041,-113.5841,284.82,43.0,90.0,3.09,US,1612946168.0
saskylakh,71.9167,114.0833,242.77,82.0,0.0,5.38,RU,1612946168.0
nsanje,-16.92,35.262,304.84,61.0,95.0,2.27,MW,1612946168.0
clyde river,70.4692,-68.5914,257.15,92.0,1.0,12.86,CA,1612946168.0
shache,38.4167,77.2406,290.98,24.0,77.0,2.14,CN,1612946168.0
cherskiy,68.75,161.3,251.08,86.0,0.0,0.11,RU,1612946169.0
bredasdorp,-34.5322,20.0403,297.15,60.0,20.0,2.57,ZA,1612946169.0
beringovskiy,63.05,179.3167,247.6,88.0,11.0,4.92,RU,1612946169.0
